Position,Track Name,Artist,Streams,URL,Date,Region,lat,long
5,Closer,The Chainsmokers,10080,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,pt,40.033265,-7.8896263
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,129472,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,se,59.6749712,14.5208584
2,Alone,Alan Walker,121710,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/1/2017,se,59.6749712,14.5208584
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,116338,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,1/1/2017,se,59.6749712,14.5208584
4,Call On Me - Ryan Riback Extended Remix,Starley,113275,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,1/1/2017,se,59.6749712,14.5208584
5,Say You Won't Let Go,James Arthur,105816,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/1/2017,se,59.6749712,14.5208584
1,Chantaje,Shakira,395069,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,mx,22.5000485,-100.0000375
2,Reggaetón Lento (Bailemos),CNCO,336760,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,mx,22.5000485,-100.0000375
3,Vente Pa' Ca,Ricky Martin,300392,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/2017,mx,22.5000485,-100.0000375
4,Safari,J Balvin,283184,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,mx,22.5000485,-100.0000375
5,Otra Vez (feat. J Balvin),Zion & Lennox,254484,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,mx,22.5000485,-100.0000375
1,Chantaje,Shakira,9081,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,pa,8.3096067,-81.3066246
2,Otra Vez (feat. J Balvin),Zion & Lennox,8660,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,pa,8.3096067,-81.3066246
3,Safari,J Balvin,8307,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,pa,8.3096067,-81.3066246
4,Reggaetón Lento (Bailemos),CNCO,7811,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,pa,8.3096067,-81.3066246
5,Vente Pa' Ca,Ricky Martin,7468,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/2017,pa,8.3096067,-81.3066246
